x,Curve1,x,Curve1,x,Curve1,x,Curve1
1.38868,88.3929,0.571017,921.429,1.7381,168.75,0.731963,717.857
2.95176,208.929,1.61686,1092.86,3.12894,313.393,1.43741,975
3.47619,337.5,2.83782,1307.14,3.66419,723.214,2.14286,1232.14
4.34818,498.214,3.36382,1446.43,4.3658,956.25,2.5036,1500
4.7013,675,4.57986,1575,5.42455,1470.54,2.8668,1810.71
5.91868,811.607,6.31696,1757.14,6.30179,1767.86,3.74985,2153.57
6.27242,1004.46,8.04913,1853.57,7.01515,2306.25,4.11367,2475
7.49382,1245.54,10.4608,1757.14,8.06648,2627.68,4.99363,2764.29
8.88683,1446.43,13.5614,1628.57,8.24954,2884.82,5.18417,3075
10.4515,1607.14,18.0456,1542.86,9.47062,3117.86,6.58705,3450
12.5349,1751.79,22.7026,1457.14,9.65461,3399.11,6.77575,3728.57
15.1357,1840.18,26.6676,1350,10.8772,3672.32,8.17122,3975
18.5925,1671.43,31.1482,1200,11.928,3977.68,9.39404,4221.43
21.8785,1566.96,36.3231,1114.29,13.6685,4210.71,9.92929,4521.43
25.5133,1526.79,42.0185,1071.43,16.257,3977.68,11.5024,4853.57
29.8389,1438.39,47.3704,1060.71,18.3275,3784.82,12.0376,5153.57
35.0291,1317.86,52.8888,942.857,20.9153,3535.71,13.7704,5260.71
39.7016,1245.54,60.4822,878.571,23.1574,3302.68,14.7903,4982.14
45.4116,1133.04,64.9714,878.571,24.7056,3037.5,16.6711,4660.71
50.0853,1092.86,70.3202,814.286,26.7749,2812.5,18.3786,4328.57
53.7211,1076.79,76.1901,803.571,34.043,2691.96,20.5992,3910.71
58.0482,1028.57,82.5774,782.143,38.8856,2539.29,22.8234,3557.14
62.03,1004.46,88.6169,717.857,42.8643,2434.82,24.5297,3203.57
66.5309,972.321,94.4849,675,45.8033,2314.29,27.2732,2871.43
70.8596,964.286,100.008,642.857,49.9549,2201.79,28.9899,2700
76.2251,900,103.804,600,54.9746,2153.57,32.0824,2432.14
81.4199,900,,,59.1262,2041.07,41.9254,2453.57
88.3451,867.857,,,61.8915,1904.46,46.5786,2303.57
94.9242,843.75,,,65.1763,1767.86,53.9994,2239.29
99.2523,819.643,,,69.3278,1655.36,60.0351,2110.71
107.563,787.5,,,73.9985,1534.82,65.8989,1992.86
112.238,779.464,,,79.5365,1454.46,72.7924,1767.86
116.567,787.5,,,86.4595,1366.07,78.4791,1575
,,,,92.6936,1374.11,91.5971,1500
,,,,98.2307,1269.64,100.913,1371.43
,,,,104.636,1229.46,,
,,,,110.696,1213.39,,
,,,,117.624,1261.61,,
