x,Curve1,x,Curve1,x,Curve1,x,Curve1
0.940766,5.79521,0.723351,5.21688,0.436364,7.55814,0.436364,28.4884
1.44406,16.8185,1.07913,22.0459,1.16364,33.7209,1.01818,59.3023
1.79984,33.6476,1.72055,49.9004,1.52727,63.9535,1.52727,89.5349
2.15682,47.5745,2.50297,87.6209,2.10909,90.6977,2.03636,117.442
2.58659,60.9203,2.78187,114.898,2.61818,112.209,3.27273,131.977
2.87151,73.687,3.28011,138.111,3.05455,138.953,4.8,143.023
3.59053,89.3517,3.70651,159.583,3.49091,155.233,6.4,127.907
4.81837,102.69,4.78612,180.468,4.43636,166.279,8,112.209
5.61259,111.969,6.17014,167.104,5.74545,150,9.45455,96.5116
6.40897,116.024,6.39141,158.396,6.76364,131.395,12.0727,80.2326
7.28344,106.729,7.12486,139.235,7.92727,113.372,14.1091,72.093
8.22974,99.1741,8.4397,117.746,9.16364,96.5116,16.8,64.5349
9.10205,95.1027,9.82708,96.2565,10.6909,84.3023,19.7818,57.5581
10.1192,91.6102,11.9364,83.4666,13.0182,70.3488,22.4,55.2326
11.0648,85.7968,14.5521,74.1544,15.4909,61.0465,25.0909,54.6512
12.228,79.9812,17.385,66.001,17.9636,54.0698,27.8545,52.907
13.1722,77.6504,19.5642,59.5952,20.5818,47.6744,30.1091,52.3256
14.5533,71.2522,22.251,53.7648,23.1273,45.3488,33.3818,48.8372
16.0053,68.9165,25.2273,49.673,26.1818,44.186,35.5636,47.093
17.1678,64.8422,27.7678,46.7463,28.9455,41.8605,38.1091,46.5116
18.7654,61.3442,30.6711,43.8161,31.9273,37.7907,40.6545,45.3488
20.0723,59.0098,33.5011,42.6278,34.4727,36.6279,43.2727,44.7674
21.4505,59.5769,35.9685,40.8627,37.3091,33.7209,46.0364,43.0233
22.9748,57.8209,38.9439,39.0926,40.2909,32.5581,48.8727,43.6047
24.3538,56.6467,42.2813,39.0603,42.9091,33.1395,52,41.2791
26.0948,57.2102,45.2561,38.4511,45.0909,31.3953,55.7091,41.2791
27.8365,56.0325,47.795,39.5874,47.6364,30.814,58.3273,40.6977
29.5059,54.2751,50.9884,36.6543,49.9636,29.6512,,
31.4651,53.6757,54.1082,36.6242,52.7273,29.6512,,
33.5698,51.9141,57.4463,34.8506,55.2727,27.3256,,
35.2387,51.3175,,,58.0364,27.907,,
36.9802,50.7202,,,,,,
38.7212,51.2838,,,,,,
40.7534,49.5228,,,,,,
42.9306,47.7605,,,,,,
44.8172,47.1618,,,,,,
47.0668,45.9792,,,,,,
49.098,46.54,,,,,,
50.9846,45.9413,,,,,,
53.016,45.9216,,,,,,
54.7575,45.3243,,,,,,
56.6443,44.1452,,,,,,
58.4584,43.5473,,,,,,
